name,quadrant,ring,isNew,description
Serverless Framework,DevOps,BRUK,FALSE,"<p>Forenklet oppsett og deploy av Lambda funksjoner og applikasjoner. Vurdere opp mot AWS Serverless Application Model (SAM) som bygger på CloudFormation.</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Godt økosystem, mange plugins og støtte for mange språk (Python, Java/Kotlin, Javascript, Go).</li>
<li>+ Støtter mange skyplattformer, inkludert Kubernetes.</li>
<li>+ Enkelt å teste lokalt(?)</li>
<li>+ Lettvekt.</li>
<li>- Må vurdere sikkerhet til plugins (ekstern kode).</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Proaktive meldinger, Min side, Dataspeilet</p>"
Statisk kodeanalyse,DevOps,BRUK,FALSE,"<p>SonarQube (JVM?)
Mypy, flake8 (Python)
Andre verktøy?</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Lett å sette opp som del av byggepipeline, f.eks. CodeQL (Github action).</li>
<li>- Kan ta lang tid i byggepipeline.</li>
<li>- CodeQL støtter ikke Kotlin per nå.</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Dataspeilet</p>"
Github Actions,DevOps,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Ett sted mindre å være</li>
<li>+ Enkel læringskurve</li>
<li>+ Lokal testing (med ngrok)</li>
<li>+ Stort økosystem (tilgjengelige actions)</li>
<li>- Må vurdere hvilke eksterne actions som er trygge å bruke (og pinne versjoner).</li>
<li>- Vanskelig å debugge en action.</li>
</ul></p>

<p><b>Brukes av</b><br>
Alle</p>"
JitPack,DevOps,VURDER,FALSE,"<p>On-demand bygging og publisering av JVM-biblioteker fra Github. Alternativ til Nexus.</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Lett å sette opp. Gratis for åpen kildekode.</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
Strukturerte logger,DevOps,VURDER,FALSE,"<p>Logg ett strukturert (JSON) event per tjenestekall med all informasjon om kallet og behandlingen av det (input parametere, domene-id'er, metrikker for kall på baksystemer, osv.). Se https://charity.wtf/2019/02/05/logs-vs-structured-events/</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Samler all informasjon om et tjenestekall i ett event.</li>
<li>+ Trenger ikke å sammenstille separate logglinjer for å gjenskape hva som har skjedd.</li>
<li>+ Lar deg gjøre rike spørringer på hvordan systemet oppfører seg.</li>
<li>+ Kan brukes som basis for å utlede metrikker og traces.</li>
<li>- Krever egne biblioteker/løsninger for å bygge opp strukturerte logger.</li>
<li>- Krever logg-verktøy som håndterer søk i strukturerte eventer, f.eks. Elasticsearch + Kibana. </li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
Container Security,Sikkerhet,BRUK,FALSE,"<p>Bør vi bruke kun internt godkjente base images?
Bør vi bruke kun verifiserte base images?
Burde vi standardisere på en felles pakkebrønn? ECR vs Github
Burde vi legge på automatisert sjekk av hvilke images som er i bruk og varsle ved bruk av base image uten patch, uten support?
Sjekk av image ved deploy? </p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ God praksis</li>
<li>+ - Image scan</li>
<li>+ - Ikke direkte Exec</li>
<li>- Usikkert hvordan man skal implementere</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform,
Barnehagepris</p>"
"AWS Parameter Store,
AWS Secrets manager",Sikkerhet,BRUK,FALSE,"<p>Passer til ulike behov, er det lurt med en guide for når team burde benytte den ene over den andre?</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform,
Proaktive Meldinger,
Barnehagepris, 
Helsedata,
Kjøremiljø</p>"
Github Advanced Security,Sikkerhet,BRUK,FALSE,"<p>Er dette skrudd på for hele organisasjonen?
Har team et aktivt forhold til noe annet enn Dependabot, har de verdi av kode scanning med CodeQL eller secrets scanning?
</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeilet,
Veiviser,
Proaktive Meldinger,
Dataplattform,
Skjema,
Barnehagepris</p>"
Spring Security,Sikkerhet,AVSTÅ,FALSE,"<p>Ikke mange team har dette i bruk. Hadde en stemme på BRUK også. Team som bruker opplever at det har en læringskurve og er omfattende men også er et godt rammeverk</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Skjema,</li>
<li>+ Barnehagepris</li>
</ul></p>

<p><b>Brukes av</b><br>
Skjema,
Barnehagepris</p>"
Zero Trust,Sikkerhet,BRUK,FALSE,"<p>Oppfatningen er at vi bør strekke oss mot prinsipper for Zero Trust men usikkerhet rundt hvor langt denne jobben er kommet i Oslofelles nettverk.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
</p>"
